"Bias_GP_1","Bias_GP_2","Bias_GP_3","Bias_GP_4","Bias_DR_1","Bias_DR_2","Bias_DR_3","Bias_DR_4","Bias_Lin_1","Bias_Lin_2","Bias_Lin_3","Bias_Lin_4","Bias_Lin01_1","Bias_Lin01_2","Bias_Lin01_3","Bias_Lin01_4","Bias_GRF_1","Bias_GRF_2","Bias_GRF_3","Bias_GRF_4","SE_GP_1","SE_GP_2","SE_GP_3","SE_GP_4","SE_DR_1","SE_DR_2","SE_DR_3","SE_DR_4","SE_Lin_1","SE_Lin_2","SE_Lin_3","SE_Lin_4","SE_Lin01_1","SE_Lin01_2","SE_Lin01_3","SE_Lin01_4","SE_GRF_1","SE_GRF_2","SE_GRF_3","SE_GRF_4","Cover_GP_1","Cover_GP_2","Cover_GP_3","Cover_GP_4","Cover_DR_1","Cover_DR_2","Cover_DR_3","Cover_DR_4","Cover_Lin_1","Cover_Lin_2","Cover_Lin_3","Cover_Lin_4","Cover_Lin01_1","Cover_Lin01_2","Cover_Lin01_3","Cover_Lin01_4","Cover_GRF_1","Cover_GRF_2","Cover_GRF_3","Cover_GRF_4","Cover_Simul_GP_1","Cover_Simul_GP_2","Cover_Simul_GP_3","Cover_Simul_GP_4","Cover_Simul_DR_1","Cover_Simul_DR_2","Cover_Simul_DR_3","Cover_Simul_DR_4","Cover_Simul_Lin_1","Cover_Simul_Lin_2","Cover_Simul_Lin_3","Cover_Simul_Lin_4","Cover_Simul_Lin01_1","Cover_Simul_Lin01_2","Cover_Simul_Lin01_3","Cover_Simul_Lin01_4","Cover_Simul_GRF_1","Cover_Simul_GRF_2","Cover_Simul_GRF_3","Cover_Simul_GRF_4"
-0.256390673223019,-0.057019072573091,-0.00683252829526104,-0.112906639592563,-0.261213807651764,0.0753047140393959,0.0978738110666773,0.199926929768242,-0.255540182452107,-0.0760329956511407,-0.0113632096856284,-0.164989827896321,-0.256390673223019,-0.057019072573091,-0.00683252829526104,-0.112906639592563,-0.100022323660769,-0.031429388784151,0.018279915238365,0.212892843831565,0.157760919444106,0.0935514619672878,0.0893272576486216,0.220503769421048,0.434239561713442,0.311814243310303,0.43370823867979,0.346716077375374,0.145348024854217,0.0856321462799971,0.0875726590575912,0.217101913241406,0.157760919444106,0.0935514619672878,0.0893272576486216,0.220503769421048,0.156517988696574,0.101377594471983,0.0971137593897222,0.16671933684818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.213124528080171,0.0507591595205237,0.0183247971381555,-0.151928586332347,-0.0945530536107371,0.0648644649674444,0.0402414452376738,-0.128689113848598,-0.24839200805333,0.0578966797649518,-0.0109048011112807,-0.145505690274242,-0.213124528080171,0.0578966797649518,0.0183247971381555,-0.145505690274242,-0.107860815703401,0.0172054147135723,0.0202697768538975,-0.199037195116645,0.142799176981995,0.147157203797503,0.114357555553632,0.185595455535344,0.266034059421412,0.146544620236071,0.167635733589223,0.219675521656648,0.132653156751175,0.133517352477149,0.0760979360613362,0.179127773315609,0.142799176981995,0.133517352477149,0.114357555553632,0.179127773315609,0.165319165786857,0.105224511217035,0.104459230375816,0.15431187526958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.288862016705484,-0.111577406305465,-0.105629500680753,0.0773368449078222,-0.0748583762639927,0.0450774386969404,-0.04036798719746,0.287071758397493,-0.364847046389493,-0.222639864716218,-0.143574444857103,0.0368838487201744,-0.288862016705484,-0.111577406305465,-0.105629500680753,0.0773368449078222,-0.303978596459042,-0.0895283927984312,-0.192629577016184,0.298159578819098,0.160862684589001,0.0925564442257373,0.0924222733110671,0.152146086584196,0.321603862325089,0.16525794081999,0.162100903408019,0.238199176418964,0.141984703045163,0.0683401547238311,0.0759597369104628,0.149153193479972,0.160862684589001,0.0925564442257373,0.0924222733110671,0.152146086584196,0.167808410654009,0.0993955309494711,0.0954447296752972,0.175851702054745,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
-0.286334877418616,-0.0175050946269517,-0.218351387209836,-0.0354501575700608,-0.0979906893661382,0.193741028540168,-0.123726389081054,0.119973428587154,-0.467330491742841,-0.246989747911938,-0.263619534453519,-0.074740055120782,-0.286334877418616,-0.0175050946269517,-0.218351387209836,-0.0354501575700608,-0.0933219435266561,0.104133500985395,-0.143541247247756,0.198187117205614,0.161300230935265,0.122252482366895,0.095562977527259,0.156554073020483,0.25169820500203,0.203073806130525,0.180301916932082,0.337637163706543,0.119240373808391,0.0718709641825955,0.079988860557438,0.143912548874691,0.161300230935265,0.122252482366895,0.095562977527259,0.156554073020483,0.156692676508646,0.102480591059408,0.101829206020382,0.170201438776601,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
-0.347969325263762,-0.0642360453242123,-0.0702282179439939,-0.261676431449813,-0.247631023837616,0.00399911196986746,-0.0350662334068812,-0.0883390040037153,-0.380998640187104,-0.0613337437923696,-0.091390301926026,-0.311837759446273,-0.347969325263762,-0.0613337437923696,-0.0702282179439939,-0.261676431449813,-0.166136816561469,0.00867181328123068,-0.0517281262264018,-0.115578586278664,0.152406018716728,0.104331616241776,0.157222249335353,0.180811183056424,0.266481022124298,0.202755728110452,0.221246936334062,0.340484626711988,0.141793143504557,0.104044806089039,0.143999841052939,0.168159078978026,0.152406018716728,0.104044806089039,0.157222249335353,0.180811183056424,0.145498330391534,0.0943340887452379,0.102389919080604,0.152785955343989,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
