"Bias_GP_1","Bias_GP_2","Bias_GP_3","Bias_GP_4","Bias_DR_1","Bias_DR_2","Bias_DR_3","Bias_DR_4","Bias_Lin_1","Bias_Lin_2","Bias_Lin_3","Bias_Lin_4","Bias_Lin01_1","Bias_Lin01_2","Bias_Lin01_3","Bias_Lin01_4","Bias_GRF_1","Bias_GRF_2","Bias_GRF_3","Bias_GRF_4","SE_GP_1","SE_GP_2","SE_GP_3","SE_GP_4","SE_DR_1","SE_DR_2","SE_DR_3","SE_DR_4","SE_Lin_1","SE_Lin_2","SE_Lin_3","SE_Lin_4","SE_Lin01_1","SE_Lin01_2","SE_Lin01_3","SE_Lin01_4","SE_GRF_1","SE_GRF_2","SE_GRF_3","SE_GRF_4","Cover_GP_1","Cover_GP_2","Cover_GP_3","Cover_GP_4","Cover_DR_1","Cover_DR_2","Cover_DR_3","Cover_DR_4","Cover_Lin_1","Cover_Lin_2","Cover_Lin_3","Cover_Lin_4","Cover_Lin01_1","Cover_Lin01_2","Cover_Lin01_3","Cover_Lin01_4","Cover_GRF_1","Cover_GRF_2","Cover_GRF_3","Cover_GRF_4","Cover_Simul_GP_1","Cover_Simul_GP_2","Cover_Simul_GP_3","Cover_Simul_GP_4","Cover_Simul_DR_1","Cover_Simul_DR_2","Cover_Simul_DR_3","Cover_Simul_DR_4","Cover_Simul_Lin_1","Cover_Simul_Lin_2","Cover_Simul_Lin_3","Cover_Simul_Lin_4","Cover_Simul_Lin01_1","Cover_Simul_Lin01_2","Cover_Simul_Lin01_3","Cover_Simul_Lin01_4","Cover_Simul_GRF_1","Cover_Simul_GRF_2","Cover_Simul_GRF_3","Cover_Simul_GRF_4"
-0.0600763556019395,0.154796604484231,-0.0331116023816378,0.0437018028831719,0.013678717389694,0.0805016246769226,-0.137855377757129,0.145464279188324,-0.0980199379404629,0.171478228601256,-0.0187723586269992,0.0163514591835394,-0.0600763556019395,0.154796604484231,-0.0331116023816378,0.0437018028831719,0.00788202527874593,0.282791642097066,-0.0188255461333884,0.139033095903663,0.163102439434548,0.100635226708102,0.104640059418752,0.158190142256705,0.336152464996496,0.240348186610751,0.283857191351845,0.279531616911099,0.12382402247813,0.0920326075361278,0.099625079619955,0.150095839781315,0.163102439434548,0.100635226708102,0.104640059418752,0.158190142256705,0.141990517921911,0.0959597221460624,0.102104064851799,0.163517835436432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
-0.146403293112871,-0.013078877381006,-0.192405991612229,-0.141762916953312,-0.0397308149310198,0.0201876044180656,-0.135530700815374,0.0704729895901546,-0.214560395697818,-0.0400320887669827,-0.285608559665095,-0.259939007681377,-0.146403293112871,-0.013078877381006,-0.192405991612229,-0.141762916953312,0.00265491880629609,-0.0478741984716613,-0.2417819552714,-0.0150084089417424,0.157607225573342,0.167270130631509,0.185455802333186,0.183965220456041,0.282759786827274,0.304502959140922,0.265434001213809,0.327636469341006,0.122321929163022,0.108444944178777,0.108417462745713,0.151859549333217,0.157607225573342,0.167270130631509,0.185455802333186,0.183965220456041,0.149920305423692,0.107256678182509,0.100189800191849,0.159190062526887,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
-0.0854438849591064,-0.167821630403092,0.073722326747462,-0.195327007113903,0.253349847995087,0.00582179159364538,0.377857325482922,0.166065565315599,-0.261134097136861,-0.297799680076252,0.0224001315129814,-0.101469293025361,-0.0854438849591064,-0.167821630403092,0.073722326747462,-0.101469293025361,0.0309345687887654,-0.208263097841251,-0.0634764889961514,-0.0698774242431255,0.166896341999987,0.0971510612043337,0.107215690752654,0.182270747484424,0.356480464379329,0.165606701871541,0.275122193703685,0.205340878252917,0.121474323667038,0.0735001218807747,0.100640052248789,0.178794754359945,0.166896341999987,0.0971510612043337,0.107215690752654,0.178794754359945,0.154215068448215,0.100410448246279,0.102058555606456,0.157880838093637,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
-0.0200798998446881,-0.312810353806485,-0.203681712240956,-0.275046891629193,0.109326359881244,-0.457695921149342,-0.244927351025198,-0.0710711319792392,-0.09480380865622,-0.20150627601769,-0.194863315763314,-0.388583546613246,-0.0200798998446881,-0.312810353806485,-0.203681712240956,-0.275046891629193,0.074253134510847,-0.240719264007494,-0.0711149804127658,-0.101803230995031,0.277411754432079,0.095840048403784,0.103132684094705,0.142336730369914,0.348196948044901,0.157451265617738,0.32004337696971,0.210058127303188,0.2647735807769,0.0745272234968089,0.0877338539846701,0.129463965874507,0.277411754432079,0.095840048403784,0.103132684094705,0.142336730369914,0.160497833452863,0.0956315462907523,0.103592638835794,0.156179537707792,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1
-0.228740400637069,-0.0783146852358547,-0.159078538836733,-0.315995771483711,-0.0259737745451212,-0.0317428643632933,-0.139281048486008,-0.269008364334931,-0.28192957272391,-0.146147824644369,-0.162865225775961,-0.358695464933357,-0.228740400637069,-0.0783146852358547,-0.159078538836733,-0.315995771483711,-0.103282944121121,0.00180592172430249,-0.139139576058521,-0.289707597006869,0.141654583776774,0.0898518412342129,0.0985380003004955,0.155137373593384,0.279433885693947,0.125172268792721,0.171176771459122,0.206563187991989,0.132089235027586,0.062895504213114,0.0958712867568905,0.136439111940611,0.141654583776774,0.0898518412342129,0.0985380003004955,0.155137373593384,0.148105759060016,0.100556767035046,0.107259814100188,0.166074784530443,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
