"Bias_GP_1","Bias_GP_2","Bias_GP_3","Bias_GP_4","Bias_DR_1","Bias_DR_2","Bias_DR_3","Bias_DR_4","Bias_Lin_1","Bias_Lin_2","Bias_Lin_3","Bias_Lin_4","Bias_Lin01_1","Bias_Lin01_2","Bias_Lin01_3","Bias_Lin01_4","Bias_GRF_1","Bias_GRF_2","Bias_GRF_3","Bias_GRF_4","SE_GP_1","SE_GP_2","SE_GP_3","SE_GP_4","SE_DR_1","SE_DR_2","SE_DR_3","SE_DR_4","SE_Lin_1","SE_Lin_2","SE_Lin_3","SE_Lin_4","SE_Lin01_1","SE_Lin01_2","SE_Lin01_3","SE_Lin01_4","SE_GRF_1","SE_GRF_2","SE_GRF_3","SE_GRF_4","Cover_GP_1","Cover_GP_2","Cover_GP_3","Cover_GP_4","Cover_DR_1","Cover_DR_2","Cover_DR_3","Cover_DR_4","Cover_Lin_1","Cover_Lin_2","Cover_Lin_3","Cover_Lin_4","Cover_Lin01_1","Cover_Lin01_2","Cover_Lin01_3","Cover_Lin01_4","Cover_GRF_1","Cover_GRF_2","Cover_GRF_3","Cover_GRF_4","Cover_Simul_GP_1","Cover_Simul_GP_2","Cover_Simul_GP_3","Cover_Simul_GP_4","Cover_Simul_DR_1","Cover_Simul_DR_2","Cover_Simul_DR_3","Cover_Simul_DR_4","Cover_Simul_Lin_1","Cover_Simul_Lin_2","Cover_Simul_Lin_3","Cover_Simul_Lin_4","Cover_Simul_Lin01_1","Cover_Simul_Lin01_2","Cover_Simul_Lin01_3","Cover_Simul_Lin01_4","Cover_Simul_GRF_1","Cover_Simul_GRF_2","Cover_Simul_GRF_3","Cover_Simul_GRF_4"
-0.170307242366027,-0.0620884289082471,0.0106284368265552,0.0371472999632416,-0.193297831759323,-0.0341967623933612,0.0010798225024824,0.122828320273233,-0.172775219317603,-0.0469034714468655,0.00358905993075709,0.103652848028936,-0.172775219317603,-0.0469034714468655,0.00358905993075709,0.103652848028936,-0.331363973173287,-0.0793960367922708,-0.0333437024564527,0.137594026784177,0.176201881943631,0.155373651192662,0.152234218405698,0.259720065056535,0.243254249741367,0.153424908856482,0.14634513496729,0.206403604378046,0.175026838255876,0.148773501413006,0.145468065209396,0.200870795570428,0.175026838255876,0.148773501413006,0.145468065209396,0.200870795570428,0.169424412849295,0.152057720807638,0.145804152838938,0.192241107276376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.142735729401881,-0.0648255820584167,0.190684304376296,0.154810477921359,-0.136590493567977,-0.0729526405305136,0.164362582478141,0.122946291172086,-0.13730494418397,-0.0698480736055691,0.157172964127304,0.114238180793088,-0.13730494418397,-0.0698480736055691,0.164362582478141,0.122946291172086,-0.200030905216391,-0.0119633927123801,0.0975953984790727,-0.0316777686919434,0.205353164247666,0.145274160164829,0.145581430400397,0.229014530269902,0.194634020272788,0.142223762551193,0.137671857358783,0.210806720492842,0.194439942732444,0.140304357570359,0.137278700247212,0.209887460980103,0.194439942732444,0.140304357570359,0.137671857358783,0.210806720492842,0.195138565245326,0.13562701412454,0.140318275901868,0.195645331732994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.320082429784075,-0.0503842959607179,-0.129918258575492,-0.0309773135524027,-0.305538778628197,-0.0602083023462547,-0.140096986933797,-0.0221442874263897,-0.306581675748751,-0.0538734837285584,-0.132660204026136,-0.0228102209412757,-0.306581675748751,-0.0538734837285584,-0.132660204026136,-0.0228102209412757,-0.370953609483526,-0.0439150637579273,-0.0770427000744469,0.00599710787753849,0.177177788533593,0.135403078967606,0.137335392723665,0.186342076393336,0.169716463283204,0.136608246120379,0.142793936409408,0.17501754420522,0.169670682434949,0.134874870763146,0.136456738613769,0.174939278900595,0.169670682434949,0.134874870763146,0.136456738613769,0.174939278900595,0.173036098489703,0.137273770319495,0.123808957821371,0.190224018769854,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.175043131811566,-0.0326189880491365,0.0463478546062603,0.105749954176941,-0.230610628530719,-0.00718706678290282,0.0466655886364677,0.0629990724841443,-0.194339919441262,-0.00892171548086695,0.046522984878377,0.0967663239716436,-0.194339919441262,-0.00892171548086695,0.046522984878377,0.0967663239716436,-0.102297428741059,-0.0560176883887671,0.0795932815346718,0.199593299341376,0.20634073982446,0.189661884872965,0.150778244639218,0.212780324228059,0.260032620376231,0.140471894509511,0.149859517298499,0.226435433743822,0.180805853930008,0.140160156968941,0.148035082998456,0.211704093863038,0.180805853930008,0.140160156968941,0.148035082998456,0.211704093863038,0.171668841515492,0.135047431665405,0.143212663563163,0.187179366456306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.146834367211411,-0.0463034058652438,0.0679895575680594,-0.0598683291583688,-0.0962919916010521,-0.00546861390220177,0.139806311675815,0.0150708580366934,-0.0839254619550835,0.00782414966853762,0.169648801006628,0.0301513831981806,-0.0962919916010521,-0.00546861390220177,0.139806311675815,0.0150708580366934,-0.0653263745457078,0.013159464023113,0.135315801493202,0.0554890665864851,0.222486219997688,0.149881668752746,0.181593029770987,0.258028857386916,0.161877136259556,0.13390443977762,0.168910420485283,0.238219389980394,0.158958473666108,0.132813376409275,0.167664955801385,0.237622864449123,0.161877136259556,0.13390443977762,0.168910420485283,0.238219389980394,0.166011533817979,0.124097570698706,0.160541301299126,0.23382720464517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
