"SSIndex","OR1","OR0","OR","ORX","PS"
1,58.0228022228554,57.7846052596052,58.0228022228554,57.5697696050382,0.781572119440089
1,61.621635925307,61.1929743861524,61.621635925307,61.3970989841773,0.795166372458479
1,57.7488791102079,57.6173057971512,57.7488791102079,57.050346339693,0.820570063336427
1,54.0869476183183,53.7067872087024,54.0869476183183,54.2838439451953,0.787110705844805
1,64.7272394804267,64.3978325862975,64.7272394804267,65.2716336382254,0.749957827846258
1,58.1965901997611,57.9754140318289,58.1965901997611,57.4978871236625,0.746676392241403
1,50.4816287840307,50.5071849554844,50.4816287840307,50.769709453845,0.77985296975789
1,65.6429733009025,65.4516291178585,65.6429733009025,67.0908365004538,0.768136239150631
1,49.2746923728945,48.5994691627332,49.2746923728945,49.2159704257343,0.778315765418775
1,59.7242207041658,59.3734005291322,59.7242207041658,58.769469823028,0.776443137815654
1,56.5533930765893,55.4675605915061,56.5533930765893,56.7965180272653,0.798135850967127
1,62.2363214325239,62.5246736756106,62.2363214325239,63.2767139392491,0.688700783992237
1,49.8715849636949,49.7409915954547,49.8715849636949,50.0918576779455,0.736011167498898
1,57.4254150320229,57.4378925387159,57.4254150320229,56.7081639608766,0.762833983356934
2,46.5126720092663,44.6336855626282,46.5126720092663,46.9194116074517,0.416853268482924
2,53.5627830718239,52.1675884538299,53.5627830718239,53.858484342335,0.795288310254759
2,48.5234491578333,46.7585351616011,46.7585351616011,46.8246340797411,0.452709394178893
2,44.067031483879,42.6618897850765,44.067031483879,44.2843248637215,0.656888305226316
2,49.279307187486,47.750406681949,49.279307187486,49.2000347423587,0.739866518448619
2,55.7852631673333,54.2353179031381,55.7852631673333,55.5414904565111,0.764924551632217
2,49.9255528482863,48.0674857255167,49.9255528482863,48.9786965386589,0.693836014719197
2,52.4748855099156,50.5892423816356,52.4748855099156,51.8865781374334,0.736872695915021
2,48.4943663526053,46.9355064206292,46.9355064206292,47.5948783561663,0.708359732843713
2,45.8657121045934,44.5758924386969,45.8657121045934,45.3011233809006,0.720858125357125
2,47.9001008766641,46.2958229841152,47.9001008766641,45.3049853127856,0.718897163198898
2,50.5256078214426,48.8076940735761,50.5256078214426,49.824403154868,0.708295903194398
2,51.9846572033155,50.3596369642432,51.9846572033155,51.3497422015011,0.697958121040507
2,47.7118301614647,46.0882932443038,46.0882932443038,45.019184492496,0.694858655777454
2,49.3374475957983,47.832489622122,49.3374475957983,48.93349513056,0.682235842554278
2,50.596064175777,49.1945702079538,50.596064175777,50.0149354847119,0.707308348553558
2,53.5688818303974,51.7116946416932,53.5688818303974,51.7679062125836,0.748800243704654
2,49.8557419147473,48.033856672322,49.8557419147473,49.418585476983,0.700217518526125
2,50.2711885267881,48.7446497863982,50.2711885267881,49.8029095226613,0.689210019150935
2,52.1171879699225,50.492736367771,50.492736367771,49.97588054321,0.698685366161099
2,47.4413930676066,45.8933980009748,47.4413930676066,46.9265542451189,0.760957737480213
2,49.0335262793299,47.5172688364925,49.0335262793299,48.8679366183796,0.697598543987468
1,49.0974291470624,48.7006252633373,49.0974291470624,49.1973237483625,0.747034488678197
1,46.5434361468011,45.8642653158675,46.5434361468011,46.8381683760871,0.662658182907375
1,41.2878721080703,40.4615137568697,40.4615137568697,40.6782029986743,0.747652624959949
1,48.1880923827981,46.8203617331264,48.1880923827981,47.6036485037546,0.700578864380605
1,49.2701898578631,47.6830926148848,49.2701898578631,49.3804752392827,0.657546803870292
1,45.0339984830738,44.3653754507889,44.3653754507889,44.9318836620469,0.682550631450607
1,47.2380018392809,45.8702129428502,47.2380018392809,47.0637929015226,0.767611629193873
1,46.6264373265971,45.3874230442152,46.6264373265971,45.8881172881991,0.789008351532819
1,48.8473949045397,48.0646792805864,48.8473949045397,49.0751130668894,0.739250580792248
1,47.9318106267588,46.9311119425682,46.9311119425682,47.9232859712383,0.69945079276198
1,47.7989902154464,47.7935915656916,47.7935915656916,47.9034719824066,0.773016719848861
1,45.9201027582306,44.9065984295636,45.9201027582306,45.4482100051385,0.660860237473178
1,43.7857007335,43.0402993470199,43.0402993470199,43.5318202811546,0.785495703531821
1,49.9812937180465,48.562483619644,49.9812937180465,49.8299928511488,0.707376510075663
1,44.3974853760087,43.6066755522846,44.3974853760087,44.3702754953261,0.778158730382026
1,46.1653291576693,44.9941299973636,44.9941299973636,45.7689143519622,0.758018633275741
1,41.6038651909818,40.8366161166908,41.6038651909818,41.0688609723474,0.753022505950623
1,44.4694899677203,44.1378172436874,44.1378172436874,44.2558567252448,0.786131287101345
1,44.724225779553,43.9863237792279,44.724225779553,44.4015067685531,0.80310394130496
1,43.2101292256581,42.6221977775849,43.2101292256581,43.0100657736556,0.736952846261638
1,46.9060874135049,46.2094577350282,46.9060874135049,46.6565503555606,0.721208905625441
1,48.8473949045397,48.0646792805864,48.8473949045397,49.0751130668894,0.739250580792248
2,47.2155832135183,45.2371783814427,47.2155832135183,46.0828010759679,0.678623627648385
2,52.5816725273845,50.9165193537373,52.5816725273845,52.1501998900134,0.792705666494593
2,50.524147673715,49.1306608934222,49.1306608934222,49.7175945771633,0.700653582825011
2,52.8693599331334,50.9887811294018,52.8693599331334,51.8043955731257,0.737236305932726
2,46.6620079474361,45.1079020834314,46.6620079474361,46.2999349032599,0.603946322772361
2,48.5586768731798,47.1126882621285,47.1126882621285,48.047540916963,0.761320769085376
2,47.1934165353324,45.5043391174906,45.5043391174906,46.6447187410823,0.690922012370522
2,52.6411094001333,51.2508060687066,52.6411094001333,51.8774734002812,0.724161818774016
2,46.0463976312138,44.6063213761389,46.0463976312138,46.0646794219346,0.738554535984872
2,45.2610654988262,43.7018073397395,45.2610654988262,44.7851090796855,0.672927194771803
2,51.034917871958,49.5219877992975,51.034917871958,51.3413916933171,0.733735095506401
2,48.8744164514367,47.1531586962366,47.1531586962366,48.4869909311374,0.697150761221227
2,49.1290087008863,47.5995762674713,49.1290087008863,48.812932004343,0.707241003425104
